Unnamed: 0,game,white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row,Anomaly
0,20482,d,2,f,1,f,8,1
1,20631,d,2,g,3,g,6,0
2,27228,c,1,g,3,,5,1
3,8879,c,2,b,7,,8,1
4,16826,a,1,d,5,h,3,0
5,24546,d,1,c,4,e,7,1
6,18552,c,2,b,2,b,7,0
7,8192,d,4,e,5,h,5,1
8,9622,d,2,f,6,a,3,0
9,25244,d,1,h,8,f,5,1
10,18783,c,2,d,5,,7,0
11,16327,d,3,d,2,e,6,0
12,21102,a,1,e,1,d,4,0
13,8013,d,4,b,7,f,1,1
14,14218,c,2,a,5,,7,0
15,12110,d,2,e,1,h,4,0
16,25835,a,1,e,7,c,1,1
17,15220,d,1,c,7,,3,0
18,8908,c,2,c,8,e,2,0
19,1356,c,2,f,7,,8,1
20,16952,a,1,h,5,,2,0
21,8896,c,2,c,6,a,4,0
22,4973,d,3,f,7,a,8,1
23,2252,d,2,g,4,h,4,0
24,22257,b,2,b,1,,6,0
25,2789,d,4,h,6,,7,1
26,3953,c,3,a,2,,1,0
27,7698,d,3,d,1,h,3,0
28,2085,d,2,c,6,b,5,0
29,20419,d,2,e,2,b,5,0
30,6178,d,3,f,6,,5,0
31,16750,d,4,h,7,,6,1
32,10854,c,1,c,7,a,3,0
33,12027,d,2,d,3,a,3,0
34,9598,d,2,f,2,,6,0
35,8188,d,4,e,5,,6,1
36,26236,b,1,c,8,d,5,0
37,8497,b,1,d,4,g,2,0
38,10127,d,4,c,1,f,3,1
39,24451,d,1,b,7,,3,0
40,23327,c,1,f,7,a,7,0
41,24229,d,1,a,4,g,5,0
42,13474,b,1,f,6,a,3,0
43,18558,c,2,b,2,,7,0
44,7364,c,3,h,6,,1,0
45,21060,a,1,c,8,c,1,1
46,26930,c,1,c,2,,3,0
47,2704,d,4,f,5,g,4,1
48,8265,d,4,f,8,,6,1
49,16780,a,1,b,5,f,2,0
50,3433,c,1,d,2,,1,0
51,6035,d,3,c,2,,2,0
52,14748,c,2,h,5,h,8,0
53,18697,c,2,c,4,e,4,0
54,7516,d,2,f,4,g,7,0
55,12669,d,3,e,6,,5,0
56,9322,d,1,c,3,,5,0
57,408,b,1,e,6,f,7,1
58,15797,d,2,e,6,f,2,0
59,17999,c,1,d,1,,2,0
60,12131,d,2,e,2,h,7,0
61,16600,d,3,h,2,,4,0
62,13690,b,2,f,1,,3,0
63,27571,d,1,f,7,d,6,0
64,19689,d,1,e,1,,5,0
65,26118,b,1,b,7,g,5,0
66,23,a,1,d,2,d,3,0
