Unnamed: 0,game,white_king_col,white_king_row,white_rook_col,white_rook_row,black_king_col,black_king_row
0,20482,d,2,f,1,f,8
1,20631,d,2,g,3,g,6
2,27228,c,1,g,3,g,5
3,8879,c,2,b,7,g,8
4,16826,a,1,d,5,h,3
5,24546,d,1,c,4,e,7
6,18552,c,2,b,2,b,7
7,8192,d,4,e,5,h,5
8,9622,d,2,f,6,a,3
9,25244,d,1,h,8,f,5
10,18783,c,2,d,5,f,7
11,16327,d,3,d,2,e,6
12,21102,a,1,e,1,d,4
13,8013,d,4,b,7,f,1
14,14218,c,2,a,5,f,7
15,12110,d,2,e,1,h,4
16,25835,a,1,e,7,c,1
17,15220,d,1,c,7,c,3
18,8908,c,2,c,8,e,2
19,1356,c,2,f,7,e,8
20,16952,a,1,h,5,e,2
21,8896,c,2,c,6,a,4
22,4973,d,3,f,7,a,8
23,2252,d,2,g,4,h,4
24,22257,b,2,b,1,h,6
25,2789,d,4,h,6,h,7
26,3953,c,3,a,2,h,1
27,7698,d,3,d,1,h,3
28,2085,d,2,c,6,b,5
29,20419,d,2,e,2,b,5
30,6178,d,3,f,6,b,5
31,16750,d,4,h,7,b,6
32,10854,c,1,c,7,a,3
33,12027,d,2,d,3,a,3
34,9598,d,2,f,2,a,6
35,8188,d,4,e,5,a,6
36,26236,b,1,c,8,d,5
37,8497,b,1,d,4,g,2
38,10127,d,4,c,1,f,3
39,24451,d,1,b,7,f,3
40,23327,c,1,f,7,a,7
41,24229,d,1,a,4,g,5
42,13474,b,1,f,6,a,3
43,18558,c,2,b,2,a,7
44,7364,c,3,h,6,a,1
45,21060,a,1,c,8,c,1
46,26930,c,1,c,2,c,3
47,2704,d,4,f,5,g,4
48,8265,d,4,f,8,g,6
49,16780,a,1,b,5,f,2
50,3433,c,1,d,2,f,1
51,6035,d,3,c,2,f,2
52,14748,c,2,h,5,h,8
53,18697,c,2,c,4,e,4
54,7516,d,2,f,4,g,7
55,12669,d,3,e,6,g,5
56,9322,d,1,c,3,g,5
57,408,b,1,e,6,f,7
58,15797,d,2,e,6,f,2
59,17999,c,1,d,1,f,2
60,12131,d,2,e,2,h,7
61,16600,d,3,h,2,h,4
62,13690,b,2,f,1,h,3
63,27571,d,1,f,7,d,6
64,19689,d,1,e,1,d,5
65,26118,b,1,b,7,g,5
66,23,a,1,d,2,d,3
67,21126,a,1,e,2,d,4
68,13172,a,1,a,6,d,7
69,27025,c,1,d,2,f,3
70,18652,c,2,b,8,g,6
71,20636,d,2,g,4,g,4
72,15839,d,2,f,5,b,6
73,19952,d,2,a,1,b,3
74,24547,d,1,c,4,e,8
75,12513,d,3,c,5,e,7
76,11644,c,3,h,8,e,4
77,4099,d,2,a,4,h,3
78,22214,b,2,a,4,e,4
79,18289,c,1,g,6,g,8
80,15746,d,2,e,2,f,6
81,12353,d,3,a,4,f,8
82,10434,a,1,h,7,d,1
83,23785,c,2,c,3,e,3
84,1276,c,2,e,4,e,4
85,10122,d,4,b,8,e,3
86,9564,d,2,e,6,a,3
87,10125,d,4,c,1,e,2
88,27070,c,1,e,4,e,4
89,7268,c,3,c,4,e,2
90,18762,c,2,d,2,e,8
91,5019,d,3,g,8,e,3
92,26470,b,1,g,1,e,3
93,10056,d,3,h,8,e,5
94,18389,c,2,a,1,e,5
95,14370,c,2,d,4,d,6
96,6111,d,3,d,5,d,2
97,25792,a,1,e,3,d,6
98,23798,c,2,c,6,d,4
99,19892,d,1,h,2,b,6
100,11070,c,2,a,1,h,8
101,21416,b,1,a,7,h,3
102,5549,c,2,g,3,h,2
103,3794,d,3,e,8,a,1
104,6983,c,1,g,6,h,2
105,2332,d,3,a,4,h,3
106,1261,c,2,e,2,e,3
107,19653,d,1,d,6,e,7
108,17355,b,1,f,2,b,7
109,20879,d,3,c,3,c,6
110,28053,b,1,g,7,e,7
111,11086,c,2,a,6,d,8
112,9253,c,3,f,8,d,4
113,18809,c,2,d,8,d,6
114,668,b,2,f,7,d,6
115,16752,d,4,h,7,h,5
116,27454,d,1,c,7,h,5
117,27966,b,1,c,6,h,3
118,13488,b,1,f,8,h,4
119,8478,b,1,c,7,h,8
120,12051,d,2,d,4,h,6
121,812,c,1,b,6,c,5
122,13196,a,1,c,4,c,2
123,13745,b,2,f,7,h,4
124,21858,b,1,e,8,h,3
125,7335,c,3,g,4,h,1
126,2101,d,2,c,8,h,7
127,23283,c,1,f,4,h,4
128,7405,d,1,f,4,h,7
129,3211,d,3,b,7,a,1
130,8136,d,4,d,7,c,1
131,11935,d,2,a,5,c,4
132,26500,b,1,g,3,c,6
133,25005,d,1,g,6,c,2
134,10597,b,1,f,4,c,7
135,1247,c,2,d,7,c,6
136,22129,b,1,h,5,c,5
137,9071,c,3,a,1,f,2
138,15879,d,2,g,5,f,8
139,17119,b,1,d,2,g,2
140,3387,d,3,d,2,g,1
141,4069,d,1,e,3,g,2
142,5635,c,3,e,4,g,2
143,24686,d,1,e,1,b,5
144,11537,c,3,e,8,e,2
145,20164,d,2,b,3,e,6
146,13251,a,1,f,8,e,1
147,6492,d,4,f,7,e,2
148,14653,c,2,g,1,e,6
149,457,b,1,f,5,e,5
150,5202,b,1,b,3,e,2
151,14624,c,2,f,6,e,8
152,3532,d,1,f,7,e,1
153,10290,d,4,h,7,e,2
154,27203,c,1,g,1,e,4
155,22315,b,2,c,2,g,7
156,6863,b,2,g,7,g,2
157,2334,d,3,a,4,g,3
158,21638,b,1,c,5,g,8
159,14149,c,1,h,6,g,3
160,14637,c,2,f,7,a,7
161,12507,d,3,c,4,h,6
162,21274,a,1,h,8,h,4
163,27823,a,1,f,8,h,2
164,26994,c,1,c,8,e,6
165,23062,c,1,d,1,g,6
166,6576,d,4,h,4,d,1
167,17213,b,1,e,1,f,6
168,11393,c,2,h,7,f,2
169,10950,c,1,e,8,f,2
170,8281,d,4,h,2,h,8
171,24576,d,1,c,5,h,6
172,18829,c,2,e,2,h,4
173,1012,c,1,f,6,g,5
174,12322,d,3,a,1,g,8
175,13804,b,2,h,8,f,1
176,15315,d,1,e,2,f,3
177,17743,b,2,e,3,f,8
178,22053,b,1,h,1,e,8
179,21859,b,1,e,8,e,4
180,3620,d,2,e,4,e,2
181,18570,c,2,b,2,g,8
182,18861,c,2,e,7,d,4
183,20495,d,2,f,2,e,6
184,24250,d,1,a,6,d,6
185,27111,c,1,f,2,d,3
186,5763,d,1,g,1,a,2
187,7751,d,3,e,2,a,8
188,24194,d,1,a,3,a,5
189,25799,a,1,e,5,a,3
190,10365,a,1,d,4,a,2
